SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
2420,Stanley County,South Dakota,2983,"2,969","Pierre, SD Micropolitan Statistical Area",
2421,Sully County,South Dakota,3087,"1,427","Pierre, SD Micropolitan Statistical Area",
2422,Todd County,South Dakota,2448,"9,942",,
2423,Tripp County,South Dakota,2807,"5,485",,
2424,Turner County,South Dakota,2582,"8,308","Sioux Falls, SD Metropolitan Statistical Area",
2425,Union County,South Dakota,2118,"14,855","Sioux City, IA-NE-SD Metropolitan Statistical Area","Sioux City-Vermillion, IA-SD-NE Combined Statistical Area"
2426,Walworth County,South Dakota,2808,"5,459",,
2427,Yankton County,South Dakota,1705,"22,603","Yankton, SD Micropolitan Statistical Area",
2428,Ziebach County,South Dakota,2988,"2,869",,
2429,Anderson County,Tennessee,727,"75,416","Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2430,Bedford County,Tennessee,1056,"45,573","Shelbyville, TN Micropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2431,Benton County,Tennessee,2021,"16,361",,
2432,Bledsoe County,Tennessee,2251,"12,792",,
2433,Blount County,Tennessee,493,"124,177","Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2434,Bradley County,Tennessee,580,"101,134","Cleveland, TN Metropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
2435,Campbell County,Tennessee,1168,"40,420","Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2436,Cannon County,Tennessee,2186,"13,811","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2437,Carroll County,Tennessee,1475,"28,390",,
2438,Carter County,Tennessee,888,"57,355","Johnson City, TN Metropolitan Statistical Area","Johnson City-Kingsport-Bristol, TN-VA Combined Statistical Area"
2439,Cheatham County,Tennessee,1191,"39,271","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2440,Chester County,Tennessee,1967,"17,171","Jackson, TN Metropolitan Statistical Area",
2441,Claiborne County,Tennessee,1395,"31,736",,
2442,Clay County,Tennessee,2611,"7,840",,
2443,Cocke County,Tennessee,1286,"35,571","Newport, TN Micropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2444,Coffee County,Tennessee,935,"53,222","Tullahoma-Manchester, TN Micropolitan Statistical Area",
2445,Crockett County,Tennessee,2130,"14,623","Jackson, TN Metropolitan Statistical Area",
2446,Cumberland County,Tennessee,890,"57,029","Crossville, TN Micropolitan Statistical Area",
2447,Davidson County,Tennessee,95,"648,295","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2448,Decatur County,Tennessee,2319,"11,673",,
2449,DeKalb County,Tennessee,1879,"18,901",,
2450,Dickson County,Tennessee,973,"50,381","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2451,Dyer County,Tennessee,1210,"38,255","Dyersburg, TN Micropolitan Statistical Area",
2452,Fayette County,Tennessee,1206,"38,659","Memphis, TN-MS-AR Metropolitan Statistical Area","Memphis-Forrest City, TN-MS-AR Combined Statistical Area"
2453,Fentress County,Tennessee,1923,"17,940",,
2454,Franklin County,Tennessee,1160,"40,772","Tullahoma-Manchester, TN Micropolitan Statistical Area",
2455,Gibson County,Tennessee,990,"49,626",,
2456,Giles County,Tennessee,1448,"29,072",,
2457,Grainger County,Tennessee,1700,"22,706","Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2458,Greene County,Tennessee,771,"68,819","Greeneville, TN Micropolitan Statistical Area",
2459,Grundy County,Tennessee,2202,"13,650",,
2460,Hamblen County,Tennessee,833,"62,746","Morristown, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2461,Hamilton County,Tennessee,191,"345,545","Chattanooga, TN-GA Metropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
2462,Hancock County,Tennessee,2705,"6,720",,
2463,Hardeman County,Tennessee,1545,"26,533",,
2464,Hardin County,Tennessee,1566,"25,950",,
2465,Hawkins County,Tennessee,896,"56,587","Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area","Johnson City-Kingsport-Bristol, TN-VA Combined Statistical Area"
2466,Haywood County,Tennessee,1909,"18,240",,
2467,Henderson County,Tennessee,1493,"28,023",,
2468,Henry County,Tennessee,1382,"32,341","Paris, TN Micropolitan Statistical Area",
2469,Hickman County,Tennessee,1635,"24,170","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2470,Houston County,Tennessee,2571,"8,413",,
2471,Humphreys County,Tennessee,1908,"18,275",,
2472,Jackson County,Tennessee,2329,"11,441","Cookeville, TN Micropolitan Statistical Area",
2473,Jefferson County,Tennessee,952,"52,191","Morristown, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2474,Johnson County,Tennessee,1916,"18,095",,
2475,Knox County,Tennessee,152,"441,311","Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2476,Lake County,Tennessee,2628,"7,690",,
2477,Lauderdale County,Tennessee,1503,"27,718",,
2478,Lawrence County,Tennessee,1127,"42,086","Lawrenceburg, TN Micropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2479,Lewis County,Tennessee,2303,"11,896",,
2480,Lincoln County,Tennessee,1338,"33,503",,
2481,Loudon County,Tennessee,985,"49,793","Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2482,McMinn County,Tennessee,948,"52,416","Athens, TN Micropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
2483,McNairy County,Tennessee,1556,"26,180",,
2484,Macon County,Tennessee,1711,"22,498","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2485,Madison County,Tennessee,594,"98,656","Jackson, TN Metropolitan Statistical Area",
2486,Marion County,Tennessee,1478,"28,291","Chattanooga, TN-GA Metropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
2487,Marshall County,Tennessee,1413,"30,883","Lewisburg, TN Micropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2488,Maury County,Tennessee,675,"81,990","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2489,Meigs County,Tennessee,2317,"11,698",,
2490,Monroe County,Tennessee,1064,"45,133",,
2491,Montgomery County,Tennessee,343,"184,468","Clarksville, TN-KY Metropolitan Statistical Area",
2492,Moore County,Tennessee,2737,"6,339","Tullahoma-Manchester, TN Micropolitan Statistical Area",
2493,Morgan County,Tennessee,1734,"21,931","Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2494,Obion County,Tennessee,1407,"31,340","Union City, TN-KY Micropolitan Statistical Area","Martin-Union City, TN-KY Combined Statistical Area"
2495,Overton County,Tennessee,1724,"22,190","Cookeville, TN Micropolitan Statistical Area",
2496,Perry County,Tennessee,2610,"7,860",,
2497,Pickett County,Tennessee,2832,"5,100",,
2498,Polk County,Tennessee,1998,"16,686","Cleveland, TN Metropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
2499,Putnam County,Tennessee,742,"73,229","Cookeville, TN Micropolitan Statistical Area",
2500,Rhea County,Tennessee,1383,"32,247","Dayton, TN Micropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
2501,Roane County,Tennessee,930,"53,469","Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2502,Robertson County,Tennessee,788,"66,931","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2503,Rutherford County,Tennessee,242,"274,454","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2504,Scott County,Tennessee,1725,"22,173",,
2505,Sequatchie County,Tennessee,2143,"14,423","Chattanooga, TN-GA Metropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
2506,Sevier County,Tennessee,626,"92,512","Sevierville, TN Micropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2507,Shelby County,Tennessee,50,"940,764","Memphis, TN-MS-AR Metropolitan Statistical Area","Memphis-Forrest City, TN-MS-AR Combined Statistical Area"
2508,Smith County,Tennessee,1869,"19,102","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2509,Stewart County,Tennessee,2224,"13,297",,
2510,Sullivan County,Tennessee,401,"156,786","Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area","Johnson City-Kingsport-Bristol, TN-VA Combined Statistical Area"
2511,Sumner County,Tennessee,377,"166,123","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2512,Tipton County,Tennessee,843,"61,705","Memphis, TN-MS-AR Metropolitan Statistical Area","Memphis-Forrest City, TN-MS-AR Combined Statistical Area"
2513,Trousdale County,Tennessee,2617,"7,795","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2514,Unicoi County,Tennessee,1910,"18,235","Johnson City, TN Metropolitan Statistical Area","Johnson City-Kingsport-Bristol, TN-VA Combined Statistical Area"
2515,Union County,Tennessee,1868,"19,127","Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2516,Van Buren County,Tennessee,2793,"5,628",,
2517,Warren County,Tennessee,1174,"39,839","McMinnville, TN Micropolitan Statistical Area",
2518,Washington County,Tennessee,490,"125,094","Johnson City, TN Metropolitan Statistical Area","Johnson City-Kingsport-Bristol, TN-VA Combined Statistical Area"
2519,Wayne County,Tennessee,1982,"16,996",,
2520,Weakley County,Tennessee,1305,"34,793","Martin, TN Micropolitan Statistical Area","Martin-Union City, TN-KY Combined Statistical Area"
2521,White County,Tennessee,1558,"26,082",,
2522,Williamson County,Tennessee,330,"192,911","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2523,Wilson County,Tennessee,511,"118,961","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2524,Anderson County,Texas,880,"58,190","Palestine, TX Micropolitan Statistical Area",
2525,Andrews County,Texas,2038,"16,117","Andrews, TX Micropolitan Statistical Area",
2526,Angelina County,Texas,650,"87,597","Lufkin, TX Micropolitan Statistical Area",
2527,Aransas County,Texas,1652,"23,818","Corpus Christi, TX Metropolitan Statistical Area","Corpus Christi-Kingsville-Alice, TX Combined Statistical Area"
2528,Archer County,Texas,2540,"8,735","Wichita Falls, TX Metropolitan Statistical Area",
2529,Armstrong County,Texas,3061,"1,944","Amarillo, TX Metropolitan Statistical Area","Amarillo-Borger, TX Combined Statistical Area"
2530,Atascosa County,Texas,1041,"46,446","San Antonio-New Braunfels, TX Metropolitan Statistical Area",
2531,Austin County,Texas,1462,"28,618","Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2532,Bailey County,Texas,2670,"7,130",,
2533,Bandera County,Texas,1811,"20,537","San Antonio-New Braunfels, TX Metropolitan Statistical Area",
2534,Bastrop County,Texas,731,"74,763","Austin-Round Rock, TX Metropolitan Statistical Area",
2535,Baylor County,Texas,2933,"3,623",,
2536,Bee County,Texas,1376,"32,527","Beeville, TX Micropolitan Statistical Area",
2537,Bell County,Texas,202,"323,037","Killeen-Temple, TX Metropolitan Statistical Area",
2538,Bexar County,Texas,19,"1,785,704","San Antonio-New Braunfels, TX Metropolitan Statistical Area",
2539,Blanco County,Texas,2383,"10,655",,
2540,Borden County,Texas,3134,616,,
2541,Bosque County,Texas,1914,"18,125",,
2542,Bowie County,Texas,619,"93,148","Texarkana, TX-AR Metropolitan Statistical Area",
2543,Brazoria County,Texas,199,"324,769","Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2544,Brazos County,Texas,314,"200,665","College Station-Bryan, TX Metropolitan Statistical Area",
2545,Brewster County,Texas,2491,"9,316",,
2546,Briscoe County,Texas,3080,"1,561",,
2547,Brooks County,Texas,2663,"7,161",,
2548,Brown County,Texas,1226,"37,825","Brownwood, TX Micropolitan Statistical Area",
2549,Burleson County,Texas,1962,"17,291","College Station-Bryan, TX Metropolitan Statistical Area",
2550,Burnet County,Texas,1100,"43,448",,
2551,Caldwell County,Texas,1202,"38,734","Austin-Round Rock, TX Metropolitan Statistical Area",
2552,Calhoun County,Texas,1748,"21,609","Port Lavaca, TX Micropolitan Statistical Area","Victoria-Port Lavaca, TX Combined Statistical Area"
2553,Callahan County,Texas,2213,"13,517","Abilene, TX Metropolitan Statistical Area",
2554,Cameron County,Texas,164,"415,557","Brownsville-Harlingen, TX Metropolitan Statistical Area","Brownsville-Harlingen-Raymondville, TX Combined Statistical Area"
2555,Camp County,Texas,2275,"12,449",,
2556,Carson County,Texas,2747,"6,157","Amarillo, TX Metropolitan Statistical Area","Amarillo-Borger, TX Combined Statistical Area"
2557,Cass County,Texas,1426,"30,166",,
2558,Castro County,Texas,2593,"8,164",,
2559,Chambers County,Texas,1271,"36,196","Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2560,Cherokee County,Texas,967,"51,206","Jacksonville, TX Micropolitan Statistical Area","Tyler-Jacksonville, TX Combined Statistical Area"
2561,Childress County,Texas,2680,"7,029",,
2562,Clay County,Texas,2394,"10,535","Wichita Falls, TX Metropolitan Statistical Area",
2563,Cochran County,Texas,2974,"3,046",,
2564,Coke County,Texas,2958,"3,231",,
2565,Coleman County,Texas,2553,"8,675",,
2566,Collin County,Texas,65,"834,642","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2567,Collingsworth County,Texas,2977,"3,036",,
2568,Colorado County,Texas,1798,"20,696",,
2569,Comal County,Texas,528,"114,384","San Antonio-New Braunfels, TX Metropolitan Statistical Area",
2570,Comanche County,Texas,2192,"13,765",,
2571,Concho County,Texas,2903,"4,010",,
2572,Cooke County,Texas,1204,"38,688","Gainesville, TX Micropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2573,Coryell County,Texas,707,"77,231","Killeen-Temple, TX Metropolitan Statistical Area",
2574,Cottle County,Texas,3083,"1,486",,
2575,Crane County,Texas,2865,"4,562",,
2576,Crockett County,Texas,2927,"3,743",,
2577,Crosby County,Texas,2750,"6,126","Lubbock, TX Metropolitan Statistical Area","Lubbock-Levelland, TX Combined Statistical Area"
2578,Culberson County,Texas,3029,"2,290",,
2579,Dallam County,Texas,2685,"6,996",,
2580,Dallas County,Texas,9,"2,453,843","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2581,Dawson County,Texas,2203,"13,640","Lamesa, TX Micropolitan Statistical Area",
2582,Deaf Smith County,Texas,1862,"19,360","Hereford, TX Micropolitan Statistical Area",
2583,Delta County,Texas,2815,"5,329",,
2584,Denton County,Texas,85,"707,304","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2585,DeWitt County,Texas,1818,"20,465",,
2586,Dickens County,Texas,3025,"2,323",,
2587,Dimmit County,Texas,2398,"10,461",,
2588,Donley County,Texas,2936,"3,598",,
2589,Duval County,Texas,2316,"11,717",,
2590,Eastland County,Texas,1899,"18,421",,
2591,Ector County,Texas,439,"144,325","Odessa, TX Metropolitan Statistical Area","Midland-Odessa, TX Combined Statistical Area"
2592,Edwards County,Texas,3057,"1,968",,
2593,Ellis County,Texas,409,"153,969","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2594,El Paso County,Texas,66,"827,398","El Paso, TX Metropolitan Statistical Area","El Paso-Las Cruces, TX-NM Combined Statistical Area"
2595,Erath County,Texas,1190,"39,321","Stephenville, TX Micropolitan Statistical Area",
2596,Falls County,Texas,1941,"17,610","Waco, TX Metropolitan Statistical Area",
2597,Fannin County,Texas,1332,"33,831",,
2598,Fayette County,Texas,1616,"24,695",,
2599,Fisher County,Texas,2918,"3,844",,
2600,Floyd County,Texas,2734,"6,367",,
2601,Foard County,Texas,3095,"1,307",,
2602,Fort Bend County,Texas,102,"627,293","Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2603,Franklin County,Texas,2385,"10,640",,
2604,Freestone County,Texas,1856,"19,515",,
2605,Frio County,Texas,1934,"17,702",,
2606,Gaines County,Texas,1901,"18,413",,
2607,Galveston County,Texas,217,"300,484","Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2608,Garza County,Texas,2731,"6,412",,
2609,Gillespie County,Texas,1602,"25,153","Fredericksburg, TX Micropolitan Statistical Area",
2610,Glasscock County,Texas,3099,"1,259","Big Spring, TX Micropolitan Statistical Area",
2611,Goliad County,Texas,2650,"7,351","Victoria, TX Metropolitan Statistical Area","Victoria-Port Lavaca, TX Combined Statistical Area"
2612,Gonzales County,Texas,1838,"20,045",,
2613,Gray County,Texas,1690,"22,978","Pampa, TX Micropolitan Statistical Area",
2614,Grayson County,Texas,503,"121,935","Sherman-Denison, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2615,Gregg County,Texas,498,"122,658","Longview, TX Metropolitan Statistical Area","Longview-Marshall, TX Combined Statistical Area"
2616,Grimes County,Texas,1536,"26,783",,
2617,Guadalupe County,Texas,448,"139,841","San Antonio-New Braunfels, TX Metropolitan Statistical Area",
2618,Hale County,Texas,1266,"36,385","Plainview, TX Micropolitan Statistical Area",
2619,Hall County,Texas,2954,"3,293",,
2620,Hamilton County,Texas,2583,"8,307",,
2621,Hansford County,Texas,2803,"5,521",,
2622,Hardeman County,Texas,2896,"4,082",,
2623,Hardin County,Texas,910,"55,190","Beaumont-Port Arthur, TX Metropolitan Statistical Area",
2624,Harris County,Texas,3,"4,253,700","Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2625,Harrison County,Texas,785,"67,450","Marshall, TX Micropolitan Statistical Area","Longview-Marshall, TX Combined Statistical Area"
2626,Hartley County,Texas,2749,"6,144",,
2627,Haskell County,Texas,2774,"5,901",,
2628,Hays County,Texas,366,"168,990","Austin-Round Rock, TX Metropolitan Statistical Area",
2629,Hemphill County,Texas,2898,"4,080",,
2630,Henderson County,Texas,695,"79,094","Athens, TX Micropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2631,Hidalgo County,Texas,72,"806,552","McAllen-Edinburg-Mission, TX Metropolitan Statistical Area","McAllen-Edinburg, TX Combined Statistical Area"
2632,Hill County,Texas,1298,"35,115",,
2633,Hockley County,Texas,1686,"23,072","Levelland, TX Micropolitan Statistical Area","Lubbock-Levelland, TX Combined Statistical Area"
2634,Hood County,Texas,954,"52,044","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2635,Hopkins County,Texas,1289,"35,469","Sulphur Springs, TX Micropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2636,Houston County,Texas,1682,"23,161",,
2637,Howard County,Texas,1291,"35,408","Big Spring, TX Micropolitan Statistical Area",
2638,Hudspeth County,Texas,2953,"3,337","El Paso, TX Metropolitan Statistical Area","El Paso-Las Cruces, TX-NM Combined Statistical Area"
2639,Hunt County,Texas,652,"87,079","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2640,Hutchinson County,Texas,1735,"21,922","Borger, TX Micropolitan Statistical Area","Amarillo-Borger, TX Combined Statistical Area"
2641,Irion County,Texas,3079,"1,573","San Angelo, TX Metropolitan Statistical Area",
2642,Jack County,Texas,2523,"8,983",,
2643,Jackson County,Texas,2158,"14,255",,
2644,Jasper County,Texas,1278,"35,923",,
2645,Jeff Davis County,Texas,3028,"2,307",,
2646,Jefferson County,Texas,262,"251,813","Beaumont-Port Arthur, TX Metropolitan Statistical Area",
2647,Jim Hogg County,Texas,2823,"5,249",,
2648,Jim Wells County,Texas,1134,"41,754","Alice, TX Micropolitan Statistical Area","Corpus Christi-Kingsville-Alice, TX Combined Statistical Area"
2649,Johnson County,Texas,412,"153,441","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2650,Jones County,Texas,1842,"19,973","Abilene, TX Metropolitan Statistical Area",
2651,Karnes County,Texas,2090,"15,233",,
2652,Kaufman County,Texas,558,"106,753","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2653,Kendall County,Texas,1277,"35,956","San Antonio-New Braunfels, TX Metropolitan Statistical Area",
2654,Kenedy County,Texas,3140,431,"Kingsville, TX Micropolitan Statistical Area","Corpus Christi-Kingsville-Alice, TX Combined Statistical Area"
2655,Kent County,Texas,3116,839,,
2656,Kerr County,Texas,986,"49,786","Kerrville, TX Micropolitan Statistical Area",
2657,Kimble County,Texas,2866,"4,560",,
2658,King County,Texas,3141,276,,
2659,Kinney County,Texas,2935,"3,603",,
2660,Kleberg County,Texas,1390,"32,025","Kingsville, TX Micropolitan Statistical Area","Corpus Christi-Kingsville-Alice, TX Combined Statistical Area"
2661,Knox County,Texas,2921,"3,789",,
2662,Lamar County,Texas,983,"49,811","Paris, TX Micropolitan Statistical Area",
2663,Lamb County,Texas,2176,"14,008",,
2664,Lampasas County,Texas,1834,"20,107","Killeen-Temple, TX Metropolitan Statistical Area",
2665,La Salle County,Texas,2671,"7,109",,
2666,Lavaca County,Texas,1858,"19,468",,
2667,Lee County,Texas,2002,"16,601",,
2668,Leon County,Texas,1995,"16,803",,
2669,Liberty County,Texas,716,"76,571","Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2670,Limestone County,Texas,1660,"23,585",,
2671,Lipscomb County,Texas,2942,"3,480",,
2672,Live Oak County,Texas,2320,"11,664",,
2673,Llano County,Texas,1870,"19,085",,
2674,Loving County,Texas,3143,71,,
2675,Lubbock County,Texas,230,"285,760","Lubbock, TX Metropolitan Statistical Area","Lubbock-Levelland, TX Combined Statistical Area"
2676,Lynn County,Texas,2781,"5,783","Lubbock, TX Metropolitan Statistical Area","Lubbock-Levelland, TX Combined Statistical Area"
2677,McCulloch County,Texas,2581,"8,313",,
2678,McLennan County,Texas,272,"238,707","Waco, TX Metropolitan Statistical Area",
2679,McMullen County,Texas,3127,726,,
2680,Madison County,Texas,2199,"13,677",,
2681,Marion County,Texas,2413,"10,324",,
2682,Martin County,Texas,2837,"5,017","Midland, TX Metropolitan Statistical Area","Midland-Odessa, TX Combined Statistical Area"
2683,Mason County,Texas,2904,"4,003",,
2684,Matagorda County,Texas,1260,"36,547","Bay City, TX Micropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2685,Maverick County,Texas,908,"55,365","Eagle Pass, TX Micropolitan Statistical Area",
2686,Medina County,Texas,1033,"46,765","San Antonio-New Braunfels, TX Metropolitan Statistical Area",
2687,Menard County,Texas,3033,"2,240",,
2688,Midland County,Texas,432,"146,645","Midland, TX Metropolitan Statistical Area","Midland-Odessa, TX Combined Statistical Area"
2689,Milam County,Texas,1636,"24,157",,
2690,Mills County,Texas,2849,"4,828",,
2691,Mitchell County,Texas,2488,"9,336",,
2692,Montague County,Texas,1855,"19,565",,
2693,Montgomery County,Texas,138,"485,047","Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2694,Moore County,Texas,1718,"22,313","Dumas, TX Micropolitan Statistical Area",
2695,Morris County,Texas,2252,"12,787",,
2696,Motley County,Texas,3100,"1,202",,
2697,Nacogdoches County,Texas,798,"66,034","Nacogdoches, TX Micropolitan Statistical Area",
2698,Navarro County,Texas,1013,"47,979","Corsicana, TX Micropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2699,Newton County,Texas,2162,"14,200","Beaumont-Port Arthur, TX Metropolitan Statistical Area",
2700,Nolan County,Texas,2114,"14,924","Sweetwater, TX Micropolitan Statistical Area",
2701,Nueces County,Texas,190,"347,691","Corpus Christi, TX Metropolitan Statistical Area","Corpus Christi-Kingsville-Alice, TX Combined Statistical Area"
2702,Ochiltree County,Texas,2379,"10,728",,
2703,Oldham County,Texas,3045,"2,060","Amarillo, TX Metropolitan Statistical Area","Amarillo-Borger, TX Combined Statistical Area"
2704,Orange County,Texas,671,"82,977","Beaumont-Port Arthur, TX Metropolitan Statistical Area",
2705,Palo Pinto County,Texas,1501,"27,856","Mineral Wells, TX Micropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2706,Panola County,Texas,1643,"24,020",,
2707,Parker County,Texas,509,"119,712","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2708,Parmer County,Texas,2425,"10,183",,
2709,Pecos County,Texas,2072,"15,619",,
2710,Polk County,Texas,1055,"45,656",,
2711,Potter County,Texas,500,"122,335","Amarillo, TX Metropolitan Statistical Area","Amarillo-Borger, TX Combined Statistical Area"
2712,Presidio County,Texas,2639,"7,525",,
2713,Rains County,Texas,2363,"10,943",,
2714,Randall County,Texas,491,"125,082","Amarillo, TX Metropolitan Statistical Area","Amarillo-Borger, TX Combined Statistical Area"
2715,Reagan County,Texas,2943,"3,475",,
2716,Real County,Texas,2950,"3,369",,
2717,Red River County,Texas,2262,"12,694",,
2718,Reeves County,Texas,2188,"13,798","Pecos, TX Micropolitan Statistical Area",
2719,Refugio County,Texas,2656,"7,259",,
2720,Roberts County,Texas,3115,854,,
2721,Robertson County,Texas,2009,"16,545","College Station-Bryan, TX Metropolitan Statistical Area",
2722,Rockwall County,Texas,670,"83,021","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2723,Runnels County,Texas,2399,"10,449",,
2724,Rusk County,Texas,923,"54,026","Longview, TX Metropolitan Statistical Area","Longview-Marshall, TX Combined Statistical Area"
2725,Sabine County,Texas,2401,"10,433",,
2726,San Augustine County,Texas,2531,"8,818",,
2727,San Jacinto County,Texas,1525,"27,126",,
