SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
1324,Carver County,Minnesota,617,"93,707","Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area","Minneapolis-St. Paul, MN-WI Combined Statistical Area"
1325,Cass County,Minnesota,1476,"28,357","Brainerd, MN Micropolitan Statistical Area",
1326,Chippewa County,Minnesota,2291,"12,135",,
1327,Chisago County,Minnesota,931,"53,452","Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area","Minneapolis-St. Paul, MN-WI Combined Statistical Area"
1328,Clay County,Minnesota,862,"60,155","Fargo, ND-MN Metropolitan Statistical Area","Fargo-Wahpeton, ND-MN Combined Statistical Area"
1329,Clearwater County,Minnesota,2546,"8,703",,
1330,Cook County,Minnesota,2828,"5,185",,
1331,Cottonwood County,Minnesota,2323,"11,597",,
1332,Crow Wing County,Minnesota,829,"62,882","Brainerd, MN Micropolitan Statistical Area",
1333,Dakota County,Minnesota,168,"405,088","Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area","Minneapolis-St. Paul, MN-WI Combined Statistical Area"
1334,Dodge County,Minnesota,1830,"20,231","Rochester, MN Metropolitan Statistical Area","Rochester-Austin, MN Combined Statistical Area"
1335,Douglas County,Minnesota,1265,"36,415","Alexandria, MN Micropolitan Statistical Area",
